번호,시도,시군구,주소,주택유형,신청자수,x,y,img,geometry,deposit,m2,deposit_m2,distanceM_near_station,near_station,distance_comp,expected_time
63,서울특별시,서울 양천구,"서울 양천구 신월동 131-2, 131-3 그라비스 102동 2층 202호",오피스텔(주거용),178,37.5316190596553,126.831626577507,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926173044184.png,POINT (126.831626577507 37.5316190596553),16200.0,29.65,546.3743676222597,1328.603286330477,화곡,21.07634355342047,69.55193372628756
62,서울특별시,서울 양천구,서울 양천구 신월동 202-2 이스트힐 202동 3층 301호,다세대주택,249,37.5300798557498,126.829037890855,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002183711412.jpg,POINT (126.829037890855 37.5300798557498),15930.0,52.29,304.6471600688468,1620.6784827092881,화곡,21.315232598783883,70.34026757598681
61,서울특별시,서울 양천구,"서울 양천구 신월동 242-4, 242-5, 242-6, 242-7 소노하우스 A동 4층 402호",다세대주택,198,37.5277397704326,126.836999081381,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926173505436.png,POINT (126.836999081381 37.5277397704326),20790.0,50.61,410.7883817427386,1043.1666490751054,까치산,20.498152171254304,67.6439021651392
60,서울특별시,서울 양천구,"서울 양천구 신월동 86-4, 86-5 SK이팰리스 3층 303호",연립주택,154,37.5369656100015,126.833865243224,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926165911897.png,POINT (126.833865243224 37.5369656100015),16200.0,28.12,576.1024182076814,813.9443872550478,화곡,20.927016973143058,69.05915601137208
59,서울특별시,서울 양천구,"서울 양천구 신정동 923-20, 923-21, 923-22 동광팰리스 4층 403호",다세대주택,534,37.5254167987673,126.854368245737,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926165829344.png,POINT (126.854368245737 37.5254167987673),15840.0,25.96,610.1694915254237,97.007285861854,신정(은행정),18.746411835371518,61.863159056726005
58,서울특별시,서울 은평구,"서울 은평구 불광동 197, 197-2 수성렉스빌 B동 2층 203호",다세대주택,256,37.6220073830173,126.93024428957,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002183656385.jpg,POINT (126.93024428957 37.6220073830173),14940.0,29.88,500.0,447.3313403545791,독바위,16.037713677742037,52.924455136548715
57,서울특별시,서울 은평구,서울 은평구 신사동 270-36 파크원 A동 3층 304호,다세대주택,232,37.6008750220084,126.906610579667,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926165726439.png,POINT (126.906610579667 37.6008750220084),16110.0,28.59,563.4837355718782,813.8350872209276,응암,16.44439231007717,54.26649462325466
56,서울특별시,서울 은평구,"서울 은평구 응암동 366-6, 366-7, 366-9 동인에버빌 8층 801호",오피스텔(주거용),197,37.591057987314,126.918508762673,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926165623285.png,POINT (126.918508762673 37.591057987314),14130.0,17.28,817.7083333333333,522.4925953075686,새절(신사),14.906468258243082,49.19134525220217
55,서울특별시,서울 은평구,"서울 은평구 응암동 99-60, 99-52 솔빛엘르빌 3층 302호",다세대주택,457,37.5994755405433,126.924957659241,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20241002182039842.jpg,POINT (126.924957659241 37.5994755405433),18090.0,44.72,404.5169946332737,605.6766547101922,역촌,14.896358284615557,49.15798233923134
54,서울특별시,서울 중랑구,"서울 중랑구 상봉동 116-17, 116-18, 116-39 로젠하임 3층 305호",오피스텔(주거용),1112,37.5960799617292,127.083131258595,http://www.khug.or.kr/updata/khgc/khgccms/cms/upload/1264/20240926173347688.jpg,POINT (127.083131258595 37.5960799617292),12240.0,16.58,738.2388419782872,298.2319306124231,상봉,9.96803257929444,32.894507511671655
